image_index,category,img_url,year,decade,num_persons,gender,age,body display
1,arts,https://api.time.com/wp-content/uploads/2014/11/15505.jpg,1923,1920s,1,male,Senior,portrait
2,arts,https://api.time.com/wp-content/uploads/2014/11/155021.jpg,1923,1920s,1,female,Young Adult,portrait
3,arts,https://api.time.com/wp-content/uploads/2014/11/155023.jpg,1923,1920s,1,male,Middle-Aged,full body
6,arts,https://api.time.com/wp-content/uploads/2014/11/155034-e1430862107116.jpg,1923,1920s,1,male,Senior,portrait
7,arts,https://api.time.com/wp-content/uploads/2014/11/155040-e1430862101319.jpg,1923,1920s,1,male,Young Adult,portrait
8,arts,https://api.time.com/wp-content/uploads/2014/11/155041.jpg,1923,1920s,1,male,Senior,waist-up
9,arts,https://api.time.com/wp-content/uploads/2014/11/155053.jpg,1924,1920s,1,male,Young Adult,portrait
10,arts,https://api.time.com/wp-content/uploads/2014/11/155061.jpg,1924,1920s,1,male,Young Adult,portrait
11,arts,https://api.time.com/wp-content/uploads/2014/11/155062.jpg,1924,1920s,1,male,Young Adult,portrait
12,arts,https://api.time.com/wp-content/uploads/2014/11/155087-e1440788279476.jpg,1924,1920s,1,female,Young Adult,portrait
13,arts,https://api.time.com/wp-content/uploads/2014/11/155099-e1563987708746.jpg,1925,1920s,1,male,Middle-Aged,portrait
14,arts,https://api.time.com/wp-content/uploads/2014/11/1550103-e1419289223915.jpg,1925,1920s,1,male,Young Adult,waist-up
15,arts,https://api.time.com/wp-content/uploads/2014/11/1550108.jpg,1925,1920s,1,male,Middle-Aged,portrait
16,arts,https://api.time.com/wp-content/uploads/2014/11/1550121-e1563990008676.jpg,1925,1920s,1,male,Young Adult,waist-up
17,arts,https://api.time.com/wp-content/uploads/2014/11/1550123-e1563990201677.jpg,1925,1920s,1,male,Young Adult,portrait
18,arts,https://api.time.com/wp-content/uploads/2014/11/1550153-e1487110455974.jpg,1926,1920s,1,female,Young Adult,portrait
19,arts,https://api.time.com/wp-content/uploads/2014/11/1550155.jpg,1926,1920s,1,female,Young Adult,waist-up
20,arts,https://api.time.com/wp-content/uploads/2014/11/1550163.jpg,1926,1920s,1,female,Young Adult,portrait
21,arts,https://api.time.com/wp-content/uploads/2014/11/1550185-e1419288941901.jpg,1926,1920s,1,male,Senior,waist-up
22,arts,https://api.time.com/wp-content/uploads/2014/11/1550210.jpg,1927,1920s,1,male,Middle-Aged,portrait
23,arts,https://api.time.com/wp-content/uploads/2014/11/1550211.jpg,1927,1920s,1,male,Middle-Aged,portrait
24,arts,https://api.time.com/wp-content/uploads/2014/11/1550213.jpg,1927,1920s,1,female,Middle-Aged,waist-up
25,arts,https://api.time.com/wp-content/uploads/2014/11/1550215.jpg,1927,1920s,1,male,Middle-Aged,portrait
26,arts,https://api.time.com/wp-content/uploads/2014/11/1550251.jpg,1928,1920s,1,male,Middle-Aged,portrait
27,arts,https://api.time.com/wp-content/uploads/2014/11/1550254.jpg,1928,1920s,1,male,Middle-Aged,portrait
28,arts,https://api.time.com/wp-content/uploads/2014/11/1550267.jpg,1928,1920s,1,male,Senior,portrait
29,arts,https://api.time.com/wp-content/uploads/2014/11/1550279-e1419884875385.jpg,1928,1920s,1,male,Middle-Aged,portrait
30,arts,https://api.time.com/wp-content/uploads/2014/11/1550283.jpg,1928,1920s,1,male,Middle-Aged,waist-up
31,arts,https://api.time.com/wp-content/uploads/2014/11/1550307.jpg,1929,1920s,1,male,Young Adult,waist-up
